Week,TOW,Lat,Lon,Alt
2083,207544.00023,22.31289810,114.17079680,4.770
2083,207545.00023,22.31289810,114.17079680,4.770
2083,207546.00023,22.31289810,114.17079680,4.770
2083,207547.00023,22.31289810,114.17079680,4.770
2083,207548.00023,22.31289810,114.17079680,4.770
2083,207549.00023,22.31289810,114.17079680,4.770
2083,207550.00023,22.31289810,114.17079680,4.770
2083,207551.00023,22.31289810,114.17079680,4.770
2083,207552.00023,22.31289810,114.17079680,4.770
2083,207553.00023,22.31289810,114.17079680,4.770
2083,207554.00023,22.31289810,114.17079680,4.770
2083,207555.00023,22.31289810,114.17079680,4.770
2083,207556.00023,22.31289810,114.17079680,4.770
2083,207557.00023,22.31289810,114.17079680,4.770
2083,207558.00023,22.31289810,114.17079680,4.770
2083,207559.00023,22.31289810,114.17079680,4.770
2083,207560.00023,22.31289810,114.17079680,4.770
2083,207561.00023,22.31289810,114.17079680,4.770
2083,207562.00023,22.31289810,114.17079680,4.770
2083,207563.00023,22.31289810,114.17079680,4.770
2083,207564.00023,22.31289810,114.17079680,4.770
2083,207565.00023,22.31289810,114.17079680,4.770
2083,207566.00023,22.31289810,114.17079680,4.770
2083,207567.00023,22.31289810,114.17079680,4.770
2083,207568.00023,22.31289810,114.17079680,4.770
2083,207569.00023,22.31289810,114.17079680,4.770
2083,207570.00023,22.31289810,114.17079680,4.770
2083,207571.00023,22.31289810,114.17079680,4.770
2083,207572.00023,22.31289810,114.17079680,4.770
2083,207573.00023,22.31289810,114.17079680,4.770
2083,207574.00023,22.31289810,114.17079680,4.770
2083,207575.00023,22.31289810,114.17079680,4.770
2083,207576.00023,22.31289810,114.17079680,4.770
2083,207577.00023,22.31289810,114.17079680,4.770
2083,207578.00023,22.31289810,114.17079680,4.770
2083,207579.00023,22.31289810,114.17079680,4.770
2083,207580.00023,22.31289810,114.17079680,4.770
2083,207581.00023,22.31289810,114.17079680,4.770
2083,207582.00023,22.31289810,114.17079680,4.770
2083,207583.00023,22.31289810,114.17079680,4.770
2083,207584.00023,22.31289810,114.17079680,4.770
2083,207585.00023,22.31289810,114.17079680,4.770
2083,207586.00023,22.31289810,114.17079680,4.770
2083,207587.00023,22.31289810,114.17079680,4.770
2083,207588.00023,22.31289810,114.17079680,4.770
2083,207589.00023,22.31289810,114.17079680,4.770
2083,207590.00023,22.31289810,114.17079680,4.770
2083,207591.00023,22.31289810,114.17079680,4.770
2083,207592.00023,22.31289810,114.17079680,4.770
2083,207593.00023,22.31289810,114.17079680,4.770
2083,207594.00023,22.31289810,114.17079680,4.770
2083,207595.00023,22.31289810,114.17079680,4.770
2083,207596.00023,22.31289810,114.17079680,4.770
2083,207597.00023,22.31289810,114.17079680,4.770
